
PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2002-3-29,59,43,27,29,24,18,89,53,20,30.19,30.15,30.11,10,10,10,16,4,20,0.00,0,,294<br />
2002-3-30,64,44,25,27,20,14,92,46,15,30.24,30.20,30.16,10,10,10,15,4,24,0.00,0,,278<br />
2002-3-31,66,45,24,23,20,15,85,45,14,30.24,30.14,30.05,10,10,10,10,2,,0.00,0,,266<br />
2002-4-1,69,48,27,25,21,17,78,51,15,30.09,30.05,29.99,10,10,10,10,3,,0.00,0,,62<br />
2002-4-2,66,52,37,30,25,21,70,35,18,30.07,30.00,29.94,10,10,10,9,5,,0.00,0,,315<br />
2002-4-3,68,47,26,28,26,23,92,47,20,30.05,30.00,29.94,10,10,10,14,3,20,0.00,0,,313<br />
2002-4-4,71,50,30,30,26,22,79,44,16,30.13,30.02,29.94,10,10,10,7,2,,0.00,0,,41<br />
2002-4-5,73,55,37,30,23,18,76,33,12,29.98,29.84,29.73,10,10,7,20,7,45,0.00,2,,207<br />
2002-4-6,64,50,36,32,29,26,79,46,26,29.85,29.79,29.75,10,10,9,29,7,33,0.00,3,Rain,289<br />
2002-4-7,61,44,28,32,28,24,89,53,27,29.98,29.92,29.86,10,10,10,14,4,21,0.00,3,,297<br />
2002-4-8,64,47,30,31,28,25,85,52,25,30.04,29.98,29.93,10,10,10,13,3,18,0.00,2,,261<br />
2002-4-9,64,50,35,42,30,20,93,53,18,30.11,30.02,29.95,10,10,8,20,5,30,0.02,3,Rain,251<br />
2002-4-10,57,44,33,40,32,28,100,72,37,30.18,30.14,30.09,10,7,0,16,2,17,0.01,4,Fog,294<br />
2002-4-11,68,50,35,32,30,28,76,50,24,30.18,30.09,30.01,10,10,10,17,6,21,0.00,2,,249<br />
2002-4-12,66,52,37,35,32,29,76,47,25,30.20,30.11,30.02,10,10,10,13,4,18,0.00,2,,231<br />
2002-4-13,75,54,33,32,27,21,79,41,14,30.25,30.14,30.03,10,10,10,14,3,20,0.00,0,,278<br />
2002-4-14,77,58,39,37,33,29,68,31,18,29.91,29.66,29.47,10,8,2,33,15,41,0.00,0,,256<br />
2002-4-15,57,42,28,40,31,25,96,82,41,29.85,29.54,29.31,10,5,0,12,6,17,0.22,7,Fog-Rain-Snow,288<br />
2002-4-16,46,36,27,32,29,23,100,78,46,29.92,29.79,29.72,10,7,1,22,8,25,0.11,6,Rain-Snow,204<br />
2002-4-17,42,34,28,32,29,23,100,85,56,30.06,29.85,29.74,10,7,0,22,9,28,0.06,6,Fog-Snow,241<br />
2002-4-18,42,34,28,30,27,22,100,82,50,30.11,30.05,30.01,10,6,0,21,6,30,0.02,7,Fog-Rain-Snow,301<br />
2002-4-19,39,52,26,32,30,24,100,91,75,30.09,30.03,29.98,10,4,0,13,4,18,0.14,7,Fog-Rain-Snow,204<br />
2002-4-20,50,39,30,32,28,22,100,75,35,30.10,29.97,29.91,10,9,1,18,6,24,0.01,6,Rain-Snow,257<br />
2002-4-21,57,40,23,30,25,20,96,61,24,30.17,30.10,30.04,10,10,6,10,2,,0.00,0,,240<br />
2002-4-22,66,47,28,31,26,21,89,52,18,30.14,30.07,30.00,10,10,10,16,5,22,0.00,0,,243<br />
2002-4-23,68,47,28,29,20,4,85,40,9,30.22,30.06,30.00,10,10,10,23,6,36,0.00,0,,266<br />
2002-4-24,63,43,24,24,13,6,69,33,11,30.39,30.23,30.10,10,10,10,9,5,,0.00,0,,69<br />
2002-4-25,72,53,37,32,25,20,65,37,16,30.09,29.90,29.73,10,10,10,13,4,,0.00,4,,173<br />
2002-4-26,59,48,39,42,38,30,93,74,44,29.72,29.61,29.53,10,9,2,18,6,24,0.38,6,Rain-Thunderstorm,88<br />
2002-4-27,50,44,39,40,37,33,100,81,52,29.93,29.74,29.55,10,9,4,13,7,29,0.29,6,Rain-Thunderstorm,211<br />
2002-4-28,57,46,37,40,36,31,93,72,39,30.14,30.05,29.94,10,10,8,8,4,,0.07,6,Rain,61<br />
2002-4-29,66,50,37,41,36,32,93,63,29,30.05,29.89,29.75,10,10,10,28,7,34,0.00,3,Rain,195<br />
2002-4-30,53,44,37,36,35,31,93,80,50,29.90,29.82,29.72,10,10,2,23,11,31,0.11,8,Rain,222<br />
2002-5-1,46,39,32,37,34,32,100,91,71,30.02,29.87,29.75,10,8,0,18,11,,0.32,7,Fog-Rain-Snow,212<br />
2002-5-2,62,45,30,39,33,28,100,72,30,30.03,29.95,29.87,10,9,1,14,4,23,0.00,1,,234<br />
2002-5-3,64,48,33,40,34,27,92,58,28,30.06,29.95,29.87,10,10,10,22,5,26,0.01,3,,255<br />
2002-5-4,66,48,30,34,30,26,92,54,22,30.15,30.05,29.96,10,10,10,17,4,24,0.00,0,,276<br />
2002-5-5,69,50,32,34,29,24,92,50,20,30.02,29.97,29.91,10,10,10,21,6,28,0.00,0,,236<br />
2002-5-6,71,52,34,33,30,23,85,46,18,29.99,29.88,29.76,10,10,10,17,4,25,0.00,0,,225<br />
2002-5-7,57,41,21,35,23,1,79,49,21,30.18,29.91,29.75,10,10,10,21,7,26,0.00,3,,291<br />
2002-5-8,54,34,16,18,11,6,84,41,15,30.25,30.18,30.09,10,10,10,12,3,,0.00,0,,113<br />
2002-5-9,64,44,24,24,18,13,81,37,16,30.10,29.95,29.81,10,10,10,17,5,26,0.00,1,,293<br />
2002-5-10,61,47,33,32,28,18,78,55,20,29.95,29.84,29.74,10,9,2,17,4,22,0.39,5,Rain-Hail-Thunderstorm,51<br />
2002-5-11,61,46,30,34,27,21,93,52,22,30.19,30.08,29.94,10,10,10,10,3,17,0.00,3,,299<br />
2002-5-12,69,48,28,31,24,19,82,42,16,30.33,30.25,30.19,10,10,10,7,2,,0.00,0,,28<br />
2002-5-13,79,56,33,31,26,22,78,36,13,30.22,30.05,29.88,10,10,10,14,3,24,0.00,0,,260<br />
2002-5-14,70,58,46,39,30,17,68,36,19,29.96,29.89,29.83,10,10,10,16,7,21,0.00,1,,255<br />
2002-5-15,71,52,32,30,25,20,85,36,17,29.93,29.87,29.81,10,10,10,10,4,23,0.00,0,,329<br />
2002-5-16,72,58,44,34,29,22,68,38,16,30.04,29.96,29.87,10,10,10,14,5,23,0.00,2,,265<br />
2002-5-17,81,58,36,36,31,27,76,41,16,30.03,29.91,29.79,10,10,10,10,2,,0.00,0,,280<br />
2002-5-18,84,62,43,38,35,31,74,37,17,29.85,29.75,29.65,10,10,10,16,4,18,0.01,1,,93<br />
2002-5-19,82,64,48,38,30,24,61,31,14,29.72,29.61,29.51,10,10,10,28,10,39,0.00,0,,150<br />
2002-5-20,70,51,33,36,30,15,100,53,13,29.82,29.65,29.55,10,10,3,30,11,46,0.02,3,Rain-Snow,232<br />
2002-5-21,52,40,33,37,33,23,100,85,39,30.05,29.87,29.72,10,8,2,22,13,31,0.10,7,Rain-Snow,228<br />
2002-5-22,51,39,30,37,32,26,96,71,42,30.08,30.05,30.01,10,10,4,18,7,24,0.05,4,Rain,260<br />
2002-5-23,55,40,26,32,27,21,92,57,28,30.12,30.08,30.05,10,10,10,13,3,,0.00,1,,22<br />
2002-5-24,66,46,28,32,28,24,92,51,22,30.12,30.06,29.98,10,10,10,9,3,17,0.00,0,,55<br />
2002-5-25,75,54,34,35,29,24,76,41,16,30.05,29.96,29.85,10,10,10,10,3,,0.00,1,,354<br />
2002-5-26,79,58,39,40,34,31,79,42,19,29.93,29.85,29.78,10,10,10,12,4,18,0.00,0,,290<br />
2002-5-27,81,61,42,39,35,32,76,40,18,29.93,29.83,29.77,10,10,10,17,3,23,0.00,0,Rain-Thunderstorm,230<br />
2002-5-28,82,62,44,41,36,31,60,38,20,29.97,29.92,29.86,10,10,10,13,5,17,0.00,0,,241<br />
2002-5-29,86,65,46,40,37,33,71,38,16,30.06,29.97,29.89,10,10,10,13,3,20,0.00,0,,251<br />
2002-5-30,91,68,45,42,38,34,76,37,15,29.96,29.86,29.76,10,10,10,14,4,24,0.00,0,,248<br />
2002-5-31,90,70,52,49,43,38,71,41,18,29.92,29.81,29.68,10,10,10,15,3,24,0.00,0,,189<br />
2002-6-1,80,64,48,52,46,40,87,59,28,29.86,29.75,29.62,10,10,9,21,6,32,0.21,3,Rain,222<br />
2002-6-2,70,58,48,48,42,37,93,57,32,29.89,29.85,29.79,10,10,10,21,8,26,0.00,2,Rain,266<br />
2002-6-3,73,55,39,41,33,25,89,47,19,30.02,29.96,29.91,10,10,10,13,4,20,0.02,1,,320<br />
2002-6-4,79,58,39,41,34,31,82,40,19,30.08,30.03,29.99,10,10,10,13,4,24,0.00,0,,337<br />
2002-6-5,84,62,42,41,38,35,82,42,18,30.12,30.03,29.93,10,10,10,17,3,,0.00,0,,229<br />
2002-6-6,84,66,48,42,38,33,68,38,17,29.98,29.87,29.73,10,10,10,16,5,21,0.00,0,,285<br />
2002-6-7,81,64,46,37,31,24,68,31,15,29.90,29.74,29.59,10,10,10,17,6,24,0.00,0,,265<br />
2002-6-8,61,52,43,25,20,11,42,30,20,29.85,29.76,29.66,10,10,10,18,9,29,0.00,3,,320<br />
2002-6-9,55,42,28,26,20,17,75,42,23,30.03,29.94,29.85,10,10,10,21,8,29,0.00,3,,262<br />
2002-6-10,62,46,30,31,28,23,79,50,27,30.08,30.03,30.00,10,10,10,14,6,20,0.00,4,,267<br />
2002-6-11,72,50,30,32,28,24,85,43,18,30.12,30.05,29.97,10,10,10,7,2,,0.00,0,,16<br />
2002-6-12,81,60,39,33,29,26,70,33,16,30.08,30.03,29.96,10,10,10,13,5,18,0.00,0,,307<br />
2002-6-13,88,66,44,39,34,30,68,30,17,30.06,29.96,29.85,10,10,10,16,6,,0.00,0,,38<br />
2002-6-14,90,68,48,39,33,28,52,26,16,29.91,29.83,29.77,10,10,10,12,6,23,0.00,0,,317<br />
2002-6-15,89,69,50,38,32,22,47,26,16,29.92,29.88,29.83,10,10,10,14,5,23,0.00,0,,262<br />
2002-6-16,91,67,43,39,29,17,46,25,15,29.99,29.91,29.84,10,10,10,22,5,26,0.00,0,,228<br />
2002-6-17,87,66,46,38,30,18,51,27,15,29.96,29.89,29.80,10,10,10,20,5,26,0.00,0,,238<br />
2002-6-18,81,68,57,45,39,27,53,36,21,29.87,29.82,29.75,10,10,10,20,11,26,0.00,1,,260<br />
2002-6-19,78,62,48,34,24,13,50,25,13,30.02,29.93,29.85,10,10,10,13,7,,0.00,0,,33<br />
2002-6-20,84,68,52,48,36,14,60,34,15,30.02,29.88,29.74,10,10,2,31,9,40,0.20,4,Rain-Thunderstorm,28<br />
2002-6-21,84,65,48,42,32,21,64,32,13,29.99,29.87,29.78,10,10,10,23,5,39,0.00,2,Thunderstorm,236<br />
2002-6-22,80,63,46,32,30,29,54,29,16,29.99,29.95,29.88,10,10,10,16,6,24,0.00,0,,241<br />
2002-6-23,89,68,46,45,39,29,83,40,16,30.03,29.94,29.83,10,10,10,13,3,,0.00,0,,12<br />
2002-6-24,93,72,51,42,39,32,66,32,17,30.02,29.88,29.82,10,10,10,13,3,16,0.00,0,,63<br />
2002-6-25,95,72,51,44,40,31,64,31,18,30.00,29.92,29.85,10,10,10,12,3,,0.00,0,,78<br />
2002-6-26,95,72,52,44,37,32,57,28,17,29.95,29.87,29.79,10,10,10,13,3,,0.00,0,,338<br />
2002-6-27,95,73,53,44,37,30,57,27,17,29.88,29.79,29.70,10,10,10,12,4,,0.00,0,,254<br />
2002-6-28,91,74,57,47,39,33,49,29,18,29.83,29.77,29.70,10,10,10,13,4,,0.00,0,,244<br />
2002-6-29,91,72,55,44,39,34,57,30,17,29.90,29.85,29.79,10,10,10,18,6,25,0.00,0,,246<br />
2002-6-30,95,73,51,44,38,29,61,30,16,29.98,29.91,29.83,10,10,10,17,5,29,0.00,0,,249<br />
2002-7-1,95,74,54,43,37,28,51,27,16,30.02,29.95,29.90,10,10,10,18,5,25,0.00,0,,259<br />
2002-7-2,95,72,52,45,39,35,53,31,18,30.18,29.96,29.82,10,10,10,16,3,,0.00,0,,54<br />
2002-7-3,91,76,59,41,34,23,33,22,16,29.88,29.80,29.71,10,10,10,22,8,25,0.00,0,,254<br />
2002-7-4,91,72,54,41,33,23,36,23,17,29.88,29.81,29.73,10,10,10,16,5,22,0.00,0,,224<br />
2002-7-5,96,73,51,46,38,31,52,27,15,29.96,29.83,29.74,10,10,3,33,5,60,0.00,0,,357<br />
2002-7-6,97,76,55,45,40,35,49,26,17,30.01,29.87,29.79,10,10,10,16,5,38,0.00,0,,19<br />
2002-7-7,98,75,55,45,40,31,49,28,17,29.92,29.85,29.76,10,10,10,16,6,22,0.00,0,,201<br />
2002-7-8,91,73,55,42,35,26,42,24,17,30.13,30.06,29.91,10,10,10,15,8,21,0.00,0,,245<br />
2002-7-9,99,74,50,47,38,30,56,27,18,30.24,30.12,30.02,10,10,10,15,5,,0.00,0,,40<br />
2002-7-10,102,76,53,51,40,29,48,24,18,30.12,30.03,29.94,10,10,10,13,5,,0.00,0,,66<br />
2002-7-11,102,80,57,52,39,24,39,23,18,30.05,29.96,29.86,10,10,10,7,2,,0.00,0,,43<br />
2002-7-12,104,80,57,53,40,27,39,23,18,29.99,29.89,29.79,10,10,10,13,3,,0.00,0,,74<br />
2002-7-13,104,83,64,56,46,39,45,26,19,30.05,29.84,29.69,10,8,2,26,9,43,0.00,0,,235<br />
2002-7-14,98,78,59,50,46,42,60,34,20,30.08,29.84,29.76,10,9,6,25,6,30,0.00,0,Rain-Thunderstorm,245<br />
2002-7-15,97,75,57,49,43,35,64,33,13,29.98,29.85,29.79,10,10,10,18,5,30,0.00,1,,283<br />
2002-7-16,91,75,61,51,46,39,60,38,18,30.11,29.91,29.83,10,10,8,28,5,40,0.00,1,,78<br />
2002-7-17,91,74,57,50,47,41,72,42,18,30.01,29.96,29.88,10,10,7,30,5,39,0.00,1,,71<br />
2002-7-18,81,70,60,56,49,44,78,52,31,30.24,30.04,29.95,10,9,3,26,4,31,0.03,2,Rain-Thunderstorm,219<br />
2002-7-19,87,65,44,49,44,36,100,48,18,30.20,29.98,29.87,20,10,7,21,3,25,0.00,1,,262<br />
2002-7-20,89,69,50,46,41,38,68,36,18,30.01,29.95,29.89,10,10,10,14,5,17,0.00,0,,253<br />
2002-7-21,93,72,51,43,38,34,68,29,12,30.04,29.94,29.83,10,10,10,12,3,,0.00,0,,73<br />
2002-7-22,96,76,57,44,32,21,51,22,8,30.06,29.84,29.74,10,10,10,21,6,31,0.00,0,Rain,204<br />
2002-7-23,95,75,57,34,25,18,33,16,6,30.12,29.93,29.86,10,10,10,18,7,26,0.00,0,,264<br />
2002-7-24,96,75,54,52,37,26,46,26,11,30.19,30.06,29.97,10,10,5,26,9,36,0.00,0,Rain-Thunderstorm,180<br />
2002-7-25,91,74,57,50,35,13,67,31,7,30.09,30.00,29.90,10,10,10,22,9,28,0.00,0,,247<br />
2002-7-26,89,67,46,32,26,18,41,22,10,30.05,29.96,29.86,10,10,10,13,4,18,0.00,0,,294<br />
2002-7-27,90,70,50,38,29,19,48,24,9,30.08,29.90,29.81,10,9,6,22,7,25,0.00,0,,289<br />
2002-7-28,89,66,42,32,27,22,53,26,9,30.10,30.04,29.96,10,10,10,13,4,,0.00,0,,184<br />
2002-7-29,93,70,48,38,31,27,43,23,11,30.11,30.02,29.94,10,10,10,15,4,21,0.00,0,,174<br />
2002-7-30,97,73,53,38,33,28,45,25,11,30.02,29.93,29.85,10,10,10,15,4,23,0.00,0,,285<br />
2002-7-31,91,73,55,39,31,22,42,23,10,30.00,29.95,29.90,10,9,8,17,6,23,0.00,0,,281<br />
2002-8-1,91,72,54,48,37,32,47,28,14,30.11,29.95,29.86,10,10,6,26,7,37,0.00,1,Rain,146<br />
2002-8-2,91,74,60,51,43,32,64,36,14,30.07,29.88,29.80,10,10,10,23,7,31,0.00,1,,219<br />
2002-8-3,91,74,57,45,38,31,53,29,13,30.02,29.84,29.73,10,10,10,17,7,25,0.00,0,,237<br />
2002-8-4,87,70,54,44,33,20,47,26,13,29.92,29.86,29.78,10,10,10,17,6,24,0.00,0,,237<br />
2002-8-5,87,65,46,35,29,22,48,26,12,29.94,29.85,29.75,10,9,5,17,6,40,0.00,0,,244<br />
2002-8-6,84,65,48,32,29,24,44,24,15,29.94,29.87,29.81,10,10,10,13,8,20,0.00,0,,233<br />
2002-8-7,79,62,44,33,27,15,54,30,13,30.18,30.02,29.91,10,10,10,15,4,24,0.00,0,,252<br />
2002-8-8,81,58,35,23,18,10,50,23,7,30.32,30.23,30.17,10,10,10,13,4,,0.00,0,,123<br />
2002-8-9,84,62,39,30,23,15,45,24,11,30.41,30.22,30.10,10,10,10,9,3,,0.00,0,,117<br />
2002-8-10,90,67,44,31,23,20,42,22,8,30.15,30.04,29.92,10,10,10,13,3,20,0.00,0,,198<br />
2002-8-11,95,70,48,29,23,19,38,19,7,29.97,29.92,29.88,10,10,10,18,5,29,0.00,0,,263<br />
2002-8-12,91,68,46,32,26,22,48,22,9,30.13,29.97,29.93,10,10,10,16,5,22,0.00,0,,306<br />
2002-8-13,91,68,44,32,28,22,46,24,10,30.09,30.01,29.93,10,10,10,14,5,22,0.00,0,,247<br />
2002-8-14,93,68,44,32,24,17,51,22,7,30.01,29.92,29.83,10,10,10,21,5,26,0.00,0,,252<br />
2002-8-15,96,73,51,32,24,18,37,18,7,29.96,29.87,29.81,10,10,10,15,4,23,0.00,0,,256<br />
2002-8-16,93,72,50,32,24,18,39,18,8,30.06,29.92,29.83,10,9,6,21,6,30,0.00,0,,273<br />
2002-8-17,93,72,50,32,23,18,33,19,7,30.15,29.93,29.81,10,9,6,20,6,24,0.00,0,,226<br />
2002-8-18,90,70,50,26,22,17,38,19,8,29.97,29.86,29.78,10,9,7,10,3,,0.00,0,,279<br />
2002-8-19,90,68,46,25,21,14,34,19,7,29.83,29.74,29.65,10,10,10,17,4,25,0.00,0,,198<br />
2002-8-20,82,64,48,31,25,18,41,24,12,29.80,29.75,29.69,10,9,5,18,6,24,0.00,0,,228<br />
2002-8-21,75,58,41,32,26,19,55,31,14,29.96,29.92,29.82,10,10,10,13,5,17,0.00,0,,232<br />
2002-8-22,82,63,44,31,26,20,49,25,12,30.04,29.97,29.91,10,10,10,8,2,,0.00,0,,75<br />
2002-8-23,80,62,44,32,29,25,56,32,15,30.10,30.01,29.94,10,10,9,21,5,32,0.01,1,Rain-Thunderstorm,357<br />
2002-8-24,84,62,42,35,28,19,67,34,12,30.17,30.07,29.98,10,10,10,12,4,,0.00,0,,46<br />
2002-8-25,88,64,41,32,22,16,46,24,9,30.11,30.03,29.95,10,10,10,12,3,22,0.00,0,,250<br />
2002-8-26,82,62,42,33,26,17,41,26,14,30.10,30.01,29.97,10,10,10,22,5,24,0.00,0,,312<br />
2002-8-27,78,61,44,40,33,25,68,36,15,30.06,29.98,29.91,10,10,10,10,4,,0.00,0,,128<br />
2002-8-28,84,62,43,37,32,28,61,32,14,29.98,29.91,29.82,10,10,8,16,4,29,0.00,1,Rain,259<br />
2002-8-29,86,65,46,34,31,27,51,29,14,30.00,29.88,29.82,10,10,10,14,4,30,0.00,0,,307<br />
2002-8-30,89,69,50,37,32,28,50,28,13,29.94,29.87,29.80,10,10,10,13,4,23,0.00,0,,355<br />
2002-8-31,87,67,48,42,34,27,54,31,15,30.06,30.01,29.91,10,10,10,9,4,,0.00,0,,15<br />
2002-9-1,89,67,46,36,30,20,54,28,14,30.17,30.08,30.01,10,10,10,17,4,23,0.00,0,,273<br />
2002-9-2,90,68,46,30,24,18,40,23,10,30.13,29.99,29.87,10,10,10,12,3,,0.00,0,,212<br />
2002-9-3,90,67,44,33,28,24,47,24,13,29.93,29.84,29.76,10,10,10,14,5,23,0.00,0,,239<br />
2002-9-4,88,69,52,46,31,18,65,29,14,30.11,29.94,29.85,10,9,2,37,6,51,0.00,1,Rain,271<br />
2002-9-5,84,68,53,50,38,27,80,39,14,30.00,29.89,29.80,10,10,9,18,5,26,0.01,2,Rain,159<br />
2002-9-6,73,62,53,55,51,31,97,78,27,29.97,29.84,29.65,10,9,1,25,6,36,0.53,7,Rain,110<br />
2002-9-7,66,57,48,53,39,30,93,55,27,29.93,29.86,29.76,10,10,10,12,4,,0.03,6,Rain,215<br />
2002-9-8,73,56,41,40,31,25,79,42,18,30.16,30.04,29.94,10,10,10,15,4,25,0.00,2,Rain,37<br />
2002-9-9,75,55,37,40,33,23,89,49,16,30.29,30.21,30.15,10,10,10,8,2,,0.00,0,,58<br />
2002-9-10,78,57,37,35,32,27,79,42,16,30.19,30.08,29.98,10,10,10,6,2,,0.00,0,,55<br />
2002-9-11,80,60,39,36,34,32,79,42,17,30.06,29.97,29.89,10,10,10,14,3,,0.00,0,,44<br />
2002-9-12,82,65,48,42,37,32,71,38,18,30.01,29.93,29.86,10,10,8,13,5,16,0.00,1,,60<br />
2002-9-13,87,62,39,37,32,23,73,35,17,30.06,29.99,29.91,10,10,10,8,2,,0.00,0,,72<br />
2002-9-14,88,64,41,39,30,24,53,30,17,30.14,30.04,29.98,10,10,10,7,3,17,0.00,0,,49<br />
2002-9-15,88,69,51,38,30,23,39,24,16,30.06,29.91,29.73,10,10,8,22,9,31,0.00,0,,123<br />
2002-9-16,66,57,48,49,45,25,94,70,23,30.07,29.90,29.72,10,8,2,28,9,38,0.40,4,Rain,222<br />
2002-9-17,70,57,44,48,44,38,97,70,31,29.94,29.87,29.78,10,10,8,16,5,24,0.04,5,Rain,314<br />
2002-9-18,68,57,46,42,36,31,83,51,28,30.13,30.04,29.93,10,10,10,15,5,,0.00,1,,317<br />
2002-9-19,75,54,35,41,35,31,85,51,24,30.17,30.08,29.98,10,10,10,9,2,,0.00,0,,195<br />
2002-9-20,79,59,39,39,35,28,89,48,17,30.05,29.98,29.91,10,10,10,13,4,20,0.00,0,,233<br />
2002-9-21,81,58,36,33,29,16,82,36,17,30.17,30.09,29.97,10,10,10,14,4,20,0.00,0,,47<br />
2002-9-22,84,60,37,36,27,21,57,31,16,30.26,30.17,30.08,10,10,10,14,4,21,0.00,0,,115<br />
2002-9-23,84,60,37,33,27,20,65,32,13,30.22,30.09,29.99,10,10,10,13,3,17,0.00,0,,137<br />
2002-9-24,87,63,42,35,27,23,51,32,14,30.06,29.93,29.80,10,10,10,17,3,24,0.00,0,,236<br />
2002-9-25,75,56,36,27,24,15,64,32,16,30.03,29.93,29.83,10,10,10,13,4,18,0.00,0,,339<br />
2002-9-26,75,50,28,25,19,10,66,33,15,30.09,29.90,29.71,10,10,10,13,4,16,0.00,0,,103<br />
2002-9-27,75,55,37,30,20,11,41,28,15,29.78,29.68,29.59,10,10,10,21,6,28,0.00,0,,25<br />
2002-9-28,66,54,41,32,31,29,62,41,27,29.86,29.81,29.72,10,10,10,10,5,,0.00,3,,134<br />
2002-9-29,69,52,35,34,31,27,85,46,25,29.96,29.83,29.72,10,10,10,17,5,29,0.00,2,Rain,245<br />
2002-9-30,62,49,37,33,29,26,73,49,29,29.98,29.90,29.83,10,10,6,16,6,20,0.00,4,,301<br />
2002-10-1,50,42,37,36,29,19,89,64,32,29.97,29.92,29.88,10,10,9,17,10,26,0.04,7,Rain,38<br />
2002-10-2,48,39,27,26,23,20,75,49,38,30.05,29.99,29.92,10,10,10,15,8,22,0.00,6,,28<br />
2002-10-3,59,39,21,29,22,18,88,50,23,30.10,30.05,30.01,10,10,10,17,5,18,0.00,4,Rain,236<br />
2002-10-4,57,44,35,42,39,32,93,75,55,30.16,30.09,30.02,10,10,10,8,3,,0.04,6,Rain,229<br />
